#credibility=2513.403
#Data is from Centers for Disease Control and Prevention (CDC). National Center for Health Statistics (NCHS). National Health and Nutrition Examination Survey Data. Hyattsville, MD: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, 2017-2018, [https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes/default.aspx?BeginYear=2017]
Age	PhysicalActivityTotal	freq
0,30	0,600	0.201405725700566
0,30	600,2000	0.182554992664537
0,30	2000,4000	0.194880474292765
0,30	4000,6000	0.116024991910902
0,30	6000,8000	0.0992774938144806
0,30	8000,16000	0.20585632161675
30,50	0,600	0.332920679747257
30,50	600,2000	0.211611986755528
30,50	2000,4000	0.198744817466513
30,50	4000,6000	0.0718185187652595
30,50	6000,8000	0.0572520025336115
30,50	8000,16000	0.127651994731831
50,65	0,600	0.363487896854362
50,65	600,2000	0.257273817445899
50,65	2000,4000	0.140504569017441
50,65	4000,6000	0.0706623030495528
50,65	6000,8000	0.0608971992867507
50,65	8000,16000	0.107174214345994
65,80	0,600	0.435150251528569
65,80	600,2000	0.283447565580583
65,80	2000,4000	0.114802956251574
65,80	4000,6000	0.0707054885882474
65,80	6000,8000	0.0414084882537734
65,80	8000,16000	0.0544852497972531
80+	0,600	0.666812101582149
80+	600,2000	0.172023935101233
80+	2000,4000	0.0966578945535654
80+	4000,6000	0.0149790241723502
80+	6000,8000	0.0275237269476402
80+	8000,16000	0.0220033176430618
