#credibility=250000000
#
#These numbers are from the file PEP_2014_PEPSYASEXN.xls from the website http://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?src=bkmk
#It is processed further in the file "Gender-Age and Population numbers.R"
#
#
Age	Gender	freq
0-1	Female	0.488936644421087
1-5	Female	0.489101036485909
5-10	Female	0.489344511477484
10-15	Female	0.489576666547662
15-20	Female	0.488123994103376
20-25	Female	0.487633648382733
25-30	Female	0.492385825355702
30-35	Female	0.497931028011805
35-40	Female	0.501053577389423
40-45	Female	0.503707770829328
45-50	Female	0.504622644860634
50-55	Female	0.509207622996588
55-60	Female	0.514491655118165
60-65	Female	0.521823177816467
65-70	Female	0.52698334893502
70-75	Female	0.539426718482684
75-80	Female	0.556750519165841
80-85	Female	0.586517245605574
85-90	Female	0.631140748708211
90-95	Female	0.685205614815893
95-100	Female	0.74739037866446
100+	Female	0.809839744033686
0-1	Male	0.511063355578913
1-5	Male	0.510898963514091
5-10	Male	0.510655488522516
10-15	Male	0.510423333452338
15-20	Male	0.511876005896624
20-25	Male	0.512366351617267
25-30	Male	0.507614174644298
30-35	Male	0.502068971988195
35-40	Male	0.498946422610577
40-45	Male	0.496292229170672
45-50	Male	0.495377355139366
50-55	Male	0.490792377003412
55-60	Male	0.485508344881835
60-65	Male	0.478176822183533
65-70	Male	0.47301665106498
70-75	Male	0.460573281517316
75-80	Male	0.443249480834159
80-85	Male	0.413482754394426
85-90	Male	0.368859251291789
90-95	Male	0.314794385184107
95-100	Male	0.25260962133554
100+	Male	0.190160255966314
